Field_Name,Time_Stamp,CO2_ppm,Nitrate_ppm,pH,Temp_C,Moisture_pct,Microbial_Health_Score
Field-D,2025-11-21 10:50,603,9.9,7.3,25.6,39.7,4.0 (Poor)
Field-D,2025-12-11 05:37,843,24.1,6.7,25.1,28.9,9.3 (Excellent)
Field-H,2025-11-22 01:11,1013,26.3,6.2,26.0,33.8,9.9 (Excellent)
Field-E,2025-12-07 21:31,685,6.7,6.3,24.4,45.2,4.9 (Fair)
Field-D,2025-11-24 21:04,629,4.2,5.8,20.5,30.6,2.5 (Very Poor)
Field-C,2025-12-05 00:41,367,3.6,5.7,27.0,48.3,1.2 (Very Poor)
Field-B,2025-11-22 19:10,646,2.9,7.5,20.9,26.4,3.1 (Poor)
Field-H,2025-11-29 01:35,1124,5.9,5.0,25.7,35.1,6.4 (Fair)
Field-F,2025-11-27 13:58,1106,12.7,5.9,19.6,31.7,7.1 (Good)
Field-D,2025-12-03 18:00,459,17.6,7.5,18.3,35.8,4.7 (Fair)
Field-F,2025-11-26 06:35,1105,4.4,6.8,26.3,39.1,6.9 (Good)
Field-A,2025-12-14 22:05,786,11.9,5.4,21.0,37.4,5.5 (Fair)
Field-E,2025-11-23 20:29,402,14.8,5.2,22.2,30.6,3.6 (Poor)
Field-I,2025-11-24 23:47,846,21.9,5.0,23.2,44.9,7.8 (Good)
Field-A,2025-12-13 22:12,1120,21.2,6.5,18.6,33.9,9.9 (Excellent)
Field-C,2025-11-29 09:12,1057,27.6,5.3,22.9,32.6,9.9 (Excellent)
Field-B,2025-11-25 02:41,975,16.4,5.6,22.1,51.5,7.6 (Good)
Field-E,2025-11-24 00:34,541,9.4,4.9,21.5,41.5,4.0 (Poor)
Field-A,2025-12-05 20:00,789,21.2,5.1,25.1,35.9,7.0 (Good)
Field-C,2025-12-02 04:54,705,2.0,7.2,18.3,40.6,4.0 (Poor)
Field-G,2025-12-10 07:24,958,2.1,7.3,27.9,32.0,4.1 (Poor)
Field-F,2025-12-13 01:21,949,4.6,6.4,24.3,29.5,5.6 (Fair)
Field-B,2025-11-29 08:46,864,13.4,7.0,18.0,32.8,7.4 (Good)
Field-B,2025-12-09 21:56,812,22.4,4.8,24.9,49.4,8.0 (Good)
Field-E,2025-12-13 22:48,531,5.6,7.0,18.9,35.5,3.7 (Poor)
Field-F,2025-12-11 08:03,400,20.9,6.7,21.2,30.4,6.0 (Fair)
Field-A,2025-12-18 23:25,1061,8.9,6.6,26.5,26.1,7.9 (Good)
Field-G,2025-12-14 21:50,1038,24.2,6.1,18.4,36.5,9.9 (Excellent)
Field-I,2025-12-12 21:31,859,13.6,4.8,26.6,27.1,6.5 (Fair)
Field-B,2025-11-23 10:28,627,6.3,5.1,21.5,28.4,3.5 (Poor)
Field-H,2025-11-22 07:51,691,17.1,7.4,20.9,29.8,6.0 (Fair)
Field-J,2025-12-14 05:22,673,6.0,7.7,21.9,27.4,4.1 (Poor)
Field-D,2025-12-10 17:03,1090,2.2,7.1,23.8,39.7,6.5 (Fair)
Field-J,2025-12-14 12:56,1058,25.2,6.9,21.1,36.3,9.9 (Excellent)
Field-B,2025-12-05 12:34,987,25.1,7.3,26.6,32.2,8.9 (Excellent)
Field-A,2025-12-15 07:13,727,2.7,6.8,24.3,28.5,4.8 (Fair)
Field-H,2025-12-03 17:57,615,15.9,7.2,21.8,46.6,6.9 (Good)
Field-J,2025-11-25 23:41,364,7.9,5.5,22.5,46.2,2.3 (Very Poor)
Field-A,2025-12-07 04:53,923,26.7,6.7,22.3,44.9,9.9 (Excellent)
Field-J,2025-12-16 15:48,1062,7.4,6.7,27.2,25.2,7.5 (Good)
Field-D,2025-11-27 04:51,576,9.0,6.1,27.8,51.8,5.2 (Fair)
Field-C,2025-12-03 12:08,1037,27.2,5.3,23.5,31.5,9.7 (Excellent)
Field-C,2025-11-26 16:37,1097,19.8,7.1,24.2,38.2,9.9 (Excellent)
Field-D,2025-12-19 04:03,771,4.9,6.4,25.7,44.7,5.2 (Fair)
Field-B,2025-11-21 03:05,741,4.5,4.9,24.2,32.1,3.8 (Poor)
Field-B,2025-12-03 14:54,642,2.2,5.3,21.1,27.9,2.2 (Very Poor)
Field-D,2025-12-04 03:30,823,10.0,5.3,25.2,36.2,5.1 (Fair)
Field-H,2025-11-30 10:35,758,23.4,6.1,19.7,25.8,8.4 (Good)
Field-E,2025-11-28 03:56,691,10.8,6.3,19.2,46.5,5.6 (Fair)
Field-F,2025-12-16 10:02,891,3.1,5.6,20.1,34.5,4.2 (Poor)
Field-F,2025-12-11 08:18,828,19.0,6.8,23.0,42.3,8.6 (Excellent)
Field-H,2025-11-20 17:17,733,16.3,7.2,26.6,33.8,7.1 (Good)
Field-I,2025-12-09 23:37,959,14.6,5.6,18.8,46.3,6.8 (Good)
Field-A,2025-12-06 23:47,968,12.0,6.4,18.8,36.2,8.0 (Good)
Field-I,2025-11-25 10:48,1142,3.1,5.5,19.7,44.5,5.2 (Fair)
Field-G,2025-12-13 02:13,364,26.0,6.7,23.0,31.5,7.4 (Good)
Field-A,2025-12-14 19:27,678,7.7,5.2,25.3,30.4,3.7 (Poor)
Field-F,2025-11-27 23:26,785,12.6,6.0,25.1,39.0,6.6 (Good)
Field-A,2025-12-12 18:11,459,25.4,5.7,21.2,37.0,5.9 (Fair)
Field-E,2025-12-07 15:16,673,12.6,5.5,24.4,50.2,4.6 (Fair)
Field-F,2025-11-24 17:20,446,18.0,4.9,19.1,26.5,4.8 (Fair)
Field-I,2025-12-16 11:02,1003,16.6,5.4,18.3,30.1,7.7 (Good)
Field-E,2025-12-13 20:10,472,21.4,6.6,26.0,37.3,6.8 (Good)
Field-C,2025-12-14 17:12,1043,2.4,5.1,23.2,47.1,5.3 (Fair)
Field-E,2025-12-19 22:33,517,9.5,6.0,25.2,40.0,4.4 (Poor)
Field-J,2025-11-23 02:20,817,20.0,5.0,24.4,25.2,7.3 (Good)
Field-G,2025-12-07 16:50,802,6.0,7.4,23.7,35.5,3.8 (Poor)
Field-J,2025-11-25 05:51,822,19.1,7.6,22.9,50.5,7.5 (Good)
Field-J,2025-12-05 02:12,775,26.7,7.3,21.3,40.1,8.4 (Good)
Field-G,2025-12-10 10:57,1023,2.3,6.0,23.8,27.4,5.7 (Fair)
Field-D,2025-11-26 20:08,398,13.1,6.5,21.0,45.6,4.8 (Fair)
Field-D,2025-12-12 20:57,827,6.1,6.2,23.2,51.3,6.0 (Fair)
Field-F,2025-11-27 07:24,389,8.5,7.3,26.5,37.6,2.2 (Very Poor)
Field-H,2025-12-06 11:25,781,24.1,5.0,25.5,50.7,8.2 (Good)
Field-J,2025-12-07 17:56,985,19.7,6.6,18.7,41.4,8.9 (Excellent)
Field-H,2025-12-15 09:09,1052,10.0,6.8,26.1,30.3,7.4 (Good)
Field-B,2025-12-09 21:31,523,21.2,5.4,25.0,48.8,5.5 (Fair)
Field-I,2025-12-15 07:17,1046,7.6,7.0,20.0,35.5,7.0 (Good)
Field-I,2025-12-15 02:25,1046,20.9,5.9,19.4,40.0,8.1 (Good)
Field-I,2025-12-12 18:07,1000,15.4,7.0,21.9,43.9,8.3 (Good)
Field-E,2025-11-25 12:09,1128,17.5,7.6,18.5,28.5,8.4 (Good)
Field-B,2025-12-07 21:41,1021,25.7,6.6,27.6,38.3,9.9 (Excellent)
Field-F,2025-11-20 20:19,1082,16.1,7.8,26.3,26.4,7.7 (Good)
Field-D,2025-11-20 20:02,1061,5.3,5.1,23.8,35.8,5.6 (Fair)
Field-C,2025-11-25 00:06,668,2.9,6.9,18.4,46.0,4.0 (Poor)
Field-I,2025-11-27 00:27,708,24.5,5.1,24.4,32.7,7.6 (Good)
Field-C,2025-11-30 23:50,730,10.7,5.3,27.2,43.2,4.9 (Fair)
Field-G,2025-12-06 03:51,629,10.2,7.5,26.6,50.5,4.6 (Fair)
Field-C,2025-12-20 04:32,445,27.3,7.1,21.6,45.2,7.6 (Good)
Field-J,2025-12-04 21:18,430,18.6,6.2,21.3,33.9,6.2 (Fair)
Field-F,2025-12-08 11:08,386,24.7,6.9,24.7,42.6,6.6 (Good)
Field-C,2025-12-01 19:59,1074,16.3,6.1,23.3,35.4,9.5 (Excellent)
Field-F,2025-12-02 21:17,1046,11.2,7.6,21.9,41.0,6.2 (Fair)
Field-A,2025-12-02 05:10,557,20.5,5.1,27.7,51.2,6.2 (Fair)
Field-H,2025-12-01 11:14,437,7.3,6.8,25.4,28.8,3.5 (Poor)
Field-F,2025-11-21 14:27,904,6.0,7.0,22.7,36.2,5.9 (Fair)
Field-C,2025-12-10 18:29,745,5.5,6.6,21.7,40.1,5.1 (Fair)
Field-B,2025-12-20 07:01,603,15.6,5.9,26.9,29.4,5.4 (Fair)
Field-D,2025-12-12 19:22,911,16.7,7.4,19.8,27.5,6.8 (Good)
Field-E,2025-11-21 02:35,352,5.7,7.3,25.3,51.9,2.0 (Very Poor)
Field-D,2025-11-20 20:03,1107,11.3,5.2,21.0,36.8,6.9 (Good)
Field-D,2025-11-24 13:17,866,4.5,7.3,23.9,31.5,4.5 (Poor)
Field-I,2025-12-14 03:29,704,18.6,5.1,24.5,36.8,6.5 (Fair)
Field-F,2025-12-15 00:29,997,12.3,7.7,26.0,29.1,6.1 (Fair)
Field-H,2025-11-30 09:17,542,14.4,7.7,26.0,43.4,4.6 (Fair)
Field-A,2025-11-26 17:21,1085,14.3,6.9,19.4,33.3,9.1 (Excellent)
Field-E,2025-12-16 00:32,610,10.3,6.4,18.5,29.1,5.7 (Fair)
Field-D,2025-12-02 08:18,1137,14.3,6.5,20.6,26.9,8.7 (Excellent)
Field-G,2025-11-29 18:32,491,16.9,5.6,20.0,43.8,5.2 (Fair)
Field-F,2025-11-27 03:15,563,8.1,6.0,21.5,25.7,4.4 (Poor)
Field-B,2025-12-12 17:13,369,23.2,5.6,27.3,40.1,4.9 (Fair)
Field-F,2025-12-02 08:54,456,27.5,5.7,25.2,40.6,6.8 (Good)
Field-G,2025-11-28 02:22,928,6.2,4.9,25.7,44.0,4.9 (Fair)
Field-H,2025-11-26 08:13,802,10.6,7.3,24.9,42.6,5.7 (Fair)
Field-C,2025-11-26 15:24,957,16.3,6.7,27.4,26.1,8.7 (Excellent)
Field-A,2025-12-12 23:33,482,12.8,6.3,21.0,36.2,5.6 (Fair)
Field-J,2025-12-13 04:05,914,17.2,6.8,25.4,32.6,8.0 (Good)
Field-I,2025-12-01 13:46,1012,3.2,7.2,25.0,42.2,6.5 (Fair)
Field-B,2025-12-04 18:56,1091,17.6,5.5,27.9,44.8,8.2 (Good)
Field-J,2025-12-07 10:52,1130,14.8,6.5,20.6,48.3,9.3 (Excellent)
Field-D,2025-12-05 21:44,893,9.5,6.4,26.4,34.4,6.9 (Good)
